bedrooms,sqft,age_years,price
3,1659,86,94876
4,2163,35,227266
2,1554,9,138302
5,2790,75,209748
2,1795,27,135621
5,2679,98,180847
2,1610,41,92845
5,2824,86,172314
5,2999,4,325683
6,3168,66,296385
5,2788,45,239236
4,2291,46,207856
4,2111,26,228748
4,2486,98,136402
2,1523,39,112655
4,2468,85,133783
4,2704,42,190346
5,3162,4,320047
3,1746,88,89987
3,1933,18,178195
4,2164,27,213189
3,1846,86,60000
2,1210,90,60000
3,2245,92,95511
3,1931,43,160323
3,1785,76,110141
3,2138,33,177601
3,1297,74,82760
3,1336,50,120944
3,2039,5,202062
4,2335,42,244896
3,1903,47,150414
5,2468,25,272243
5,2794,37,276332
3,2341,50,133362
3,2046,5,231218
4,2362,15,236634
5,2690,77,214266
4,2221,35,229015
5,2268,61,225972
4,2384,57,185517
4,2531,55,190937
3,1446,41,138803
4,2155,48,183225
3,1551,83,72533
4,2079,97,138669
5,2813,25,286197
2,839,67,60000
4,2474,97,118606
2,1548,0,175206
4,2257,79,158059
2,740,50,71905
5,2551,97,169412
2,1668,58,83300
6,2586,84,228997
5,2713,16,294931
4,2025,14,254172
4,2521,93,146639
4,2151,53,169546
5,2901,56,230692
3,1981,17,190656
4,2779,22,272367
2,1309,82,60000
4,2414,30,229525
2,989,59,60000
4,2618,31,219435
4,2130,26,218784
3,1700,16,177192
4,2314,93,120343
4,1929,94,117333
4,2377,11,244896
3,2082,35,142613
4,2393,56,197523
5,2403,38,269368
2,1329,72,60000
2,1546,26,96539
2,891,5,139259
4,2051,34,220415
3,2059,60,111007
4,2388,18,242838
4,2423,82,145831
3,2305,1,248757
5,2917,6,347792
4,2484,51,170635
3,2518,51,188859
3,1787,29,152447
3,1641,26,181735
2,1467,7,160732
2,1470,66,60000
5,2668,38,272099
3,1582,11,186437
3,2417,40,173740
4,2402,94,132510
4,2137,26,242370
5,3029,90,196856
4,2293,26,225807
3,1777,18,198866
3,1981,26,184231
6,2957,32,336902
4,2408,12,242231
6,3758,59,289771
2,1477,33,98909
5,2706,72,205338
4,2193,49,203118
2,1257,44,100065
4,2257,47,193598
4,2226,15,264614
1,1109,72,60000
3,1407,10,188826
5,3016,72,210072
3,1745,100,82256
3,1934,77,96935
3,1558,45,138342
3,2172,31,167706
5,3111,88,187428
4,2560,25,214470
2,981,48,82018
6,3487,77,259924
5,2901,93,233918
3,1439,93,60000
5,2794,8,293989
2,1451,90,60000
6,3419,11,391915
4,2364,59,181569
4,2393,93,138909
2,1728,66,60000
5,3107,95,180012
1,500,34,60000
3,1761,31,134099
2,1319,32,106730
4,1882,35,170908
2,1384,68,60000
5,3112,45,257242
4,2048,74,137731
1,964,42,60000
1,651,31,60000
2,1192,19,134707
4,2689,55,206011
5,2664,90,203712
3,1956,86,84871
5,2332,25,280352
2,1826,48,101323
5,2951,71,224400
5,2754,61,226392
4,2464,6,257613
4,1968,59,158437
5,3096,3,334224
1,799,11,77065
3,1789,66,100777
2,1237,10,125991
4,2175,34,195219
4,2494,59,198533
4,2384,66,171779
5,2963,45,248633
2,1358,9,152578
4,2448,80,142793
2,1255,95,60000
3,2397,89,106743
4,1928,75,137644
6,3595,40,323742
4,2662,88,145168
2,1147,49,92314
4,2877,13,262726
1,1129,85,60000
5,3043,32,291233
4,2327,94,119900
2,1306,37,125469
2,1308,87,60000
2,1458,54,60000
6,3630,47,325610
3,1885,29,197794
4,2092,84,159939
4,2526,6,291614
4,2550,47,187954
2,1524,37,116282
5,2986,54,237820
3,1772,25,175164
4,2088,67,142606
4,2103,38,195908
4,1911,19,219131
5,2859,19,311453
2,1339,70,60486
4,2210,26,230402
3,1101,31,125769
3,1528,63,104025
2,1640,33,100308
2,1194,39,104395
3,1930,24,194923
3,1492,34,167146
3,2200,69,105172
4,2284,53,146507
4,2393,100,93321
3,2421,77,131349
3,2219,1,212956
3,1763,38,140814
4,2172,29,245440
3,1759,59,139452
1,1007,26,61542
3,1814,97,60449
3,1741,30,161543
3,2207,52,145582
4,2291,12,273276
4,2895,91,152212
4,2343,92,141465
4,2766,80,176689
4,2409,35,200180
3,2081,5,220848
4,2139,71,152556
4,2107,43,160434
3,1955,100,60000
4,2567,70,153903
3,1850,54,138218
4,1998,99,113157
4,1980,80,142266
5,2443,46,276339
5,2358,1,293414
4,2347,9,254763
4,2601,44,213592
4,2317,56,172881
3,1275,3,192800
5,2752,12,281801
3,1799,71,124624
2,1884,75,60000
2,996,3,170871
5,2702,51,245563
2,1786,8,168071
3,1952,73,103500
3,1981,84,88064
2,1389,87,60000
3,1922,60,124837
4,2514,63,183120
1,678,93,60000
5,3020,61,237124
5,2457,45,239774
3,1922,76,133545
2,1405,59,65279
4,2166,85,159828
2,1354,52,72916
3,1684,87,80489
6,3012,4,349480
6,3192,3,368594
4,2044,10,249258
3,1921,56,152815
4,2032,71,157630
4,2498,21,261706
3,1545,15,190736
4,2178,86,159861
1,724,75,60000
3,2171,65,157628
4,2403,49,189294
2,1307,42,78178
2,1485,2,135974
5,2273,18,319790
6,3269,90,259017
4,2819,34,224463
5,2833,71,238060
6,3297,71,286240
2,1497,31,140417
3,2064,20,163383
3,1341,69,91045
2,939,9,123037
4,2373,49,166220
3,1661,89,88930
3,2168,71,108644
2,1281,77,60000
2,876,8,165297
5,2483,20,281776
1,500,27,60000
3,1781,29,167805
3,1793,19,196134
3,1734,98,60000
4,2590,16,241286
3,2140,71,127858
2,1317,59,70105
3,1306,61,75479
5,2954,21,278969
4,2459,31,247494
4,2397,61,184454
4,2565,30,217692
4,2029,70,153169
2,1862,3,162249
3,1600,7,205536
4,2507,73,142801
3,1418,62,94836
5,2567,4,317269
3,2219,90,83977
4,2255,0,274953
5,3010,96,167807
4,2379,73,165332
5,2774,99,192224
4,2661,95,141327
5,2741,31,279112
3,1395,76,84437
3,1639,21,161952
4,2458,47,199870
2,1459,24,139371
3,1448,49,125915
5,2619,88,175128
4,2175,44,190991
2,1269,9,141238
3,1496,32,148797
2,1203,79,60000
1,698,52,60000
5,2993,56,259160
3,2042,43,172903
3,1804,29,181538
4,2222,60,161536
1,915,63,60000
3,1636,90,69763
4,2033,62,161057
4,2085,100,95050
6,3121,83,246900
4,2029,7,243107
3,1881,39,143447
4,2502,38,210813
5,2403,0,332752
4,2326,18,244139
6,3225,76,303702
4,2405,35,220183
5,2797,14,299574
2,997,29,101487
4,2004,27,223447
3,1847,17,192204
4,2577,10,290576
4,1766,77,125970
6,3366,83,272536
6,3577,50,317541
3,1802,62,93484
4,2458,92,145010
4,2144,85,155114
3,1810,3,192892
2,955,96,60000
1,500,6,60000
4,2556,2,252018
3,1594,40,160570
6,3166,75,259654
3,1493,8,173693
6,2928,29,333142
3,1797,26,163089
4,2138,40,196388
2,1454,99,60000
4,2433,33,203899
5,2880,21,281920
5,2860,12,310811
5,3194,20,319391
1,613,13,89397
3,1826,57,115174
1,1163,42,60000
2,1676,50,75138
4,1965,84,160518
4,2242,58,162043
4,2660,15,273927
5,2927,38,261328
4,2369,31,252924
5,2746,83,208020
1,784,31,60000
3,1912,13,185466
4,2257,74,167143
5,2789,43,276015
1,900,9,82939
4,2150,69,160920
4,2453,21,251200
1,1609,87,60000
3,1396,84,60000
5,2881,37,259330
4,2130,56,182777
3,1984,57,147332
5,2812,65,252040
3,2030,6,218443
5,3094,32,288659
3,1888,17,197932
4,2603,70,160074
3,1254,6,185052
3,2238,52,130588
5,2894,73,199119
2,1629,95,60000
2,1055,29,105658
3,1632,0,216115
4,2356,73,167592
5,2796,0,328540
6,3351,6,383124
3,2111,100,67135
3,1399,87,75668
2,1603,71,60000
4,2322,84,147596
6,3229,7,380251
4,1952,8,236755
4,2446,30,226927
3,1236,2,183546
5,2962,89,187652
3,1467,5,177301
2,1373,54,92312
3,1810,86,97235
2,1652,74,60000
3,1795,23,204958
1,706,47,60000
3,1713,55,170801
4,2638,77,157037
3,1974,43,153678
3,1744,28,160633
6,3221,80,266110
4,1928,89,137234
4,2417,49,195216
3,1400,2,223651
5,2988,50,258287
3,1872,89,82357
3,2437,99,63790
5,2525,40,264402
4,2294,15,242840
4,2770,57,184626
4,2618,83,139303
4,2146,95,161226
3,1896,5,200948
3,1840,29,145645
3,1910,48,130277
2,1185,9,135351
5,2778,89,199150
3,1440,11,192822
4,2354,67,178499
4,2433,92,123152
4,2263,69,168182
3,1436,77,72259
3,2087,26,168880
6,3371,83,246009
4,2138,42,182624
5,2730,6,330213
5,2425,37,270454
4,2064,35,223750
2,1226,52,73240
4,2627,26,248327
2,1200,46,60000
4,2480,43,220446
6,3145,33,331782
4,2382,70,173957
3,1805,30,170825
1,1098,77,60000
6,3146,25,318679
2,967,87,60000
1,535,36,60000
3,1707,4,212026
2,1048,15,103181
3,1943,81,77359
4,2204,88,122251
3,2434,21,188990
2,926,60,60000
2,1411,58,60000
3,1558,13,172122
2,1237,45,84719
4,2355,70,146166
3,1259,97,60000
3,1899,85,100853
3,2316,9,189873
3,1727,23,170578
1,945,44,60000
2,1616,15,131626
5,2759,57,229870
1,735,0,110827
4,1751,11,232682
3,2000,4,225567
3,1812,29,173234
3,1587,76,85532
4,2352,17,250495
5,2654,99,177657
3,1708,27,182513
3,1992,4,200575
3,1505,33,153743
3,2102,75,104127
4,1971,10,254837
3,1674,7,180972
3,2321,85,110780
5,3082,59,250545
1,904,34,60000
3,1605,76,109249
4,2188,85,170711
2,1378,36,115478
1,889,56,60000
2,1337,1,153206
5,2792,30,254877
1,826,60,60000
2,1000,19,120326
1,751,100,60000
2,1589,98,60000
4,1978,26,219509
3,1793,40,159059
4,2115,19,212584
4,2348,50,186967
5,2703,12,327223
1,1249,39,60000
5,2927,56,257221
4,1992,61,161029
2,1528,60,76387
4,2126,22,246610
5,2656,80,212519
3,1918,69,123087
5,2677,76,190651
3,2063,47,162780
4,2126,90,115360
6,3125,39,323518
3,1676,81,89274
5,2659,20,298752
3,2115,24,186929
4,2477,53,179768
4,2747,56,174427
3,2407,75,125760
3,1582,30,162338
3,1858,88,96691
2,1066,33,96479
1,686,53,60000
3,1682,94,80542
1,616,54,60000
2,1097,68,60000
4,2284,91,120888
4,2016,98,138065
4,2531,50,185127
3,1611,42,137214
5,3502,19,315662
4,2207,54,167792
2,1378,92,60000
2,1036,49,96579
4,2747,35,218818
2,1640,10,151927
4,2394,39,170108
6,2943,23,338491
1,933,98,60000
1,600,53,60000
6,3646,13,387872
4,2522,6,259156
2,1384,85,60000
5,2191,94,163117
5,2554,77,174598
4,2492,12,237320
4,2623,9,276491
3,2117,19,157776
2,962,75,60000
4,2395,77,148379
3,2094,84,117504
4,1905,9,255654
5,2798,15,294092
1,948,90,60000
4,2245,93,115517
3,1377,73,105061
5,2719,10,287592
3,1758,6,216049
4,2283,5,253483
4,2179,69,145547
3,1729,85,77468
4,2310,63,177410
4,2431,26,224354
4,2244,76,160409
4,2218,5,249205
6,3303,83,267381
3,1360,90,70633
4,2439,72,162061
1,880,88,60000
4,2330,59,182023
4,2560,47,211754
3,1352,32,181727
2,867,93,60000
5,2868,70,236340
3,1838,19,228778
4,2363,96,132814
2,1244,5,150870
6,3446,59,308210
2,1593,19,116191
2,1481,67,60000
5,2735,41,254282
5,2273,44,255539
3,2032,67,112687
3,2145,76,106698
4,2481,38,231337
5,2580,100,182447
3,2008,50,137774
4,2535,16,239325
4,2710,0,294779
4,2101,20,244133
4,2263,69,138981
4,2507,54,186978
2,1374,34,105833
5,2521,48,257707
5,2904,84,215252
4,2465,57,190384
2,1382,5,155829
3,1895,4,207337
4,2255,48,184267
1,1250,40,60000
6,3055,85,249160
3,1693,58,119805
4,2323,76,125791
5,3020,59,236038
3,1466,34,151493
3,1512,66,99579
4,1811,62,158573
4,2328,72,167520
3,1560,19,159316
4,2224,64,145179
5,2965,28,281902
3,1680,79,99962
2,1418,80,60763
3,1765,63,126357
3,2008,95,60000
2,1479,54,72489
2,1187,2,150525
4,2278,61,178114
3,2101,78,108615
6,3378,10,355694
3,1491,10,188249
2,1524,27,123905
4,2049,85,146110
5,3153,53,242239
3,2096,98,65223
3,1912,88,60000
2,1399,56,61653
4,2268,68,156834
3,2010,33,150456
3,1747,9,197659
1,939,40,60000
3,2058,59,94062
6,3140,18,354733
4,2166,22,217225
3,1541,1,209310
2,1094,74,60000
3,1383,90,65025
3,2022,83,86803
4,2772,38,226847
5,3156,59,247270
5,2393,97,165498
6,3461,59,274981
6,3636,29,325242
6,3166,34,319392
2,1385,73,60000
2,858,45,64826
3,1907,84,96053
4,2054,87,126662
2,1410,3,136275
5,2410,73,201579
4,2456,37,219288
4,2576,52,201273
2,1164,26,138276
3,1556,37,138366
2,821,33,89923
5,2733,5,322217
4,2175,79,145524
4,1932,14,229791
3,1953,37,135086
3,1728,19,172037
3,1571,16,164169
4,2181,37,183126
4,2588,92,124765
3,1991,95,60000
5,2767,38,275932
2,1515,51,90391
5,2510,99,155692
2,1368,23,115797
3,1877,95,60000
5,2683,10,299660
2,1469,22,129710
3,1645,34,167499
3,1967,3,198979
3,1978,82,107228
4,1591,86,98040
5,3098,38,256736
5,2038,84,190595
3,1686,78,115217
4,2576,80,161801
3,1761,81,86920
3,1473,57,83397
2,1087,11,100338
5,3057,93,193866
5,2320,61,216129
4,2602,91,121962
4,2306,96,124633
3,1542,18,178277
4,2174,40,218516
4,2066,19,235199
3,2057,5,227351
2,1543,97,60000
2,930,93,60000
6,3179,94,254440
3,1624,89,60000
6,3603,65,334792
2,1022,52,73179
4,2721,100,133737
3,1832,55,136176
3,1550,64,135907
1,711,21,73163
2,1160,75,60000
5,2481,82,215077
3,1864,68,104487
4,2013,50,186932
3,1295,19,149686
3,1745,3,212018
4,1869,63,152454
2,1172,68,60000
6,3053,78,255064
5,2582,96,204425
4,2820,50,235234
3,1854,83,87548
2,1421,72,60000
5,2356,27,267798
3,1677,85,96015
2,1414,5,142916
3,1584,60,108280
4,2547,94,147354
4,2019,66,153401
4,2248,94,124634
4,2173,5,233105
3,1881,53,143088
5,2640,78,233113
3,1772,64,124118
4,2261,88,156452
1,696,46,60000
6,3401,68,286570
3,1900,42,135353
