bedrooms,sqft,age_years,price
3,1177,53,112282
2,867,93,60000
5,3057,93,193866
40,1528,60,76387
3,1551,83,72533
3,2245,92,95511
4,2329,50,201554
3,1952,73,103500
6,3225,76,303702
4,2405,35,220183
6,3446,59,308210
3,1814,97,60449
2,1192,19,134707
5,2403,0,332752
2,1145,83,
4,2521,93,146639
2,1524,27,123905
3,1729,85,77468
4,2660,15,273927
5,2813,25,286197
2,1306,37,125469
4,2384,57,185517
3,2542,99,60000
5,2719,10,287592
4,2174,40,218516
4,2618,31,219435
2,1064,31,102795
5,3156,59,247270
3,1812,29,173234
4,2048,74,137731
1,600,53,60000
1,1163,42,"$60,000"
3,1496,32,148797
2,1629,95,60000
2,1481,67,60000
3,1566,39,133309
4,2484,51,170635
5,3029,90,196856
3,1918,69,123087
4,2188,85,170711
1,706,47,60000
4,2363,96,132814
4,2079,97,138669
4,2263,69,168182
5,2456,83,"$215,387"
5,2664,90,203712
2,1147,49,92314
1,1098,77,60000
2,1546,26,96539
4,2105,19,221145
4,2512,81,164019
3,1645,34,167499
3,1761,81,86920
4,2157,20,248240
4,2130,56,182777
3,2518,51,188859
3,1669,90,74897
2,1384,85,60000
5,2973,34,273387
4,2393,100,93321
4,2195,99,89368
3,2166,68,132724
2,1216,12,147991
2,1374,34,105833
3,1436,77,72259
6,3012,4,349480
2,930,93,60000
5,2940,77,196709
4,2284,53,146507
4,2362,15,236634
3,1993,28,179635
3,1758,6,216049
3,1903,47,150414
40,2679,98,180847
5,2038,84,190595
2,1373,95,60000
3,1899,85,100853
5,2809,21,274834
2,876,8,165297
3,1582,11,186437
2,1385,73,60000
2,1497,31,"$140,417"
4,2477,53,179768
4,1998,99,113157
4,1998,99,113157
4,2175,44,190991
3,1825,53,120598
6,3313,38,325791
3,2211,33,142129
1,904,34,60000
2,1006,49,60000
5,2901,56,230692
4,2249,44,
1,500,35,60000
3,1399,87,75668
3,,49,125915
5,2468,25,272243
4,2129,99,130410
1,829,51,
4,2111,26,228748
5,2909,10,319929
2,1329,72,60000
4,2137,26,242370
4,2310,63,177410
6,3192,3,368594
4,2126,90,115360
6,3221,80,266110
2,1554,9,"$138,302"
6,3336,41,304067
1,711,21,73163
3,1759,59,139452
2,1199,95,60000
5,3043,32,291233
2,1373,54,92312
3,1560,19,159316
3,1862,6,193769
2,1237,10,125991
4,2384,66,171779
3,1297,74,82760
3,1377,73,105061
5,2767,38,275932
3,1738,16,172213
4,2293,26,225807
4,1758,3,253984
4,2877,13,262726
4,2662,88,145168
3,2116,28,195738
4,1943,11,241764
6,3577,50,317541
3,1601,45,146994
4,2278,61,178114
4,2139,71,
5,,21,281920
2,1182,76,"$60,000"
3,1550,64,135907
4,2412,3,255964
3,1943,81,77359
5,2798,15,294092
3,1336,50,120944
4,2803,38,225193
2,1382,5,155829
5,2619,88,175128
4,2394,39,170108
6,3284,75,287711
5,,19,"$311,453"
5,2752,12,281801
3,1741,30,161543
4,2531,55,"$190,937"
3,1992,4,200575
4,2070,52,50000000
4,2133,47,186942
3,1661,89,88930
2,1281,77,
4,1980,80,142266
4,2547,94,147354
4,2747,-57,174427
2,1459,24,139371
2,1410,3,136275
4,2522,6,259156
5,3098,38,256736
4,2379,73,165332
5,3096,3,334224
2,1485,2,135974
3,,43,172903
4,2480,43,220446
4,2103,38,195908
1,1249,39,60000
4,2810,99,105403
4,2448,80,142793
3,1727,23,170578
2,1464,95,60000
4,2186,1,238821
3,1860,51,120107
4,,85,133783
2,1862,3,162249
3,1584,60,"$108,280"
3,1765,63,126357
3,2030,6,218443
4,2126,22,
2,989,59,60000
3,2123,30,205455
4,2590,16,241286
3,1931,43,160323
4,2144,85,155114
3,2008,95,60000
4,2531,50,185127
4,2134,45,168214
3,2039,5,202062
2,1200,46,60000
4,2747,35,218818
4,2377,11,244896
3,2094,84,117504
4,2107,43,"$160,434"
40,1477,33,98909
3,1841,55,129877
3,2039,39,162572
4,,93,138909
6,3125,39,323518
3,1295,19,149686
6,3166,34,319392
2,1463,29,87050
3,1473,57,83397
5,3055,81,201097
2,891,5,139259
4,2070,3,283161
2,1094,74,60000
3,2087,44,145604
2,1795,27,135621
5,3043,18,313438
4,2486,98,136402
2,1405,59,65279
5,2268,61,225972
3,1772,51,131482
5,2963,45,248633
5,2993,56,259160
3,1396,84,60000
1,1030,3,106945
4,2689,55,206011
4,2254,4,283410
2,1448,77,60000
3,1418,62,94836
5,2503,34,238108
6,3487,77,259924
5,2965,28,281902
6,3295,3,399868
3,1275,3,192800
3,,72,69318
5,3230,12,302956
4,2474,54,180309
4,2618,83,139303
3,1922,60,124837
3,1601,-15,192158
3,2437,99,63790
3,1545,15,190736
1,711,29,60000
3,1552,68,"$104,871"
4,,54,167792
5,2678,61,229500
3,1931,35,134174
3,2081,5,220848
3,2111,100,
4,2630,71,"$156,751"
4,2328,72,167520
2,1515,51,90391
4,2356,73,167592
4,2388,61,163847
5,2989,34,297203
4,2556,2,252018
2,1417,73,60000
6,3121,83,246900
3,1994,91,80206
1,651,31,60000
5,,32,288659
3,1541,1,209310
6,3055,85,249160
4,2690,33,231012
6,3297,71,286240
6,3140,18,354733
5,2273,18,319790
4,2433,33,203899
3,1440,11,192822
2,1368,23,115797
2,740,50,71905
1,796,2,87293
3,1777,18,198866
4,2166,85,159828
4,2181,37,183126
2,1244,5,"$150,870"
5,2519,77,176456
3,2064,20,163383
3,1805,30,170825
3,1872,89,82357
3,1407,10,188826
3,1684,87,80489
4,2088,67,142606
5,2958,76,184476
3,1383,90,65025
5,2443,46,276339
5,2774,99,192224
1,1129,85,"$60,000"
4,2423,82,145831
2,1050,85,60000
3,,63,90803
5,2510,99,155692
2,1748,44,80156
3,1641,60,89379
5,2403,38,269368
3,1700,16,177192
3,1981,84,"$88,064"
5,2817,13,291759
4,2431,69,160360
4,2578,91,146780
3,2305,1,248757
3,2058,59,94062
3,1797,-27,163089
6,3663,19,359751
4,2458,47,199870
40,735,0,110827
6,3603,65,334792
6,3303,83,267381
3,1512,66,99579
2,955,96,60000
3,1704,68,122703
3,1236,2,183546
5,2654,99,177657
3,1636,90,69763
4,3630,47,88000000
4,2044,10,249258
4,2226,15,264614
1,656,21,60000
3,1495,94,67380
4,2257,74,167143
2,1469,22,129710
3,1810,86,97235
2,1470,66,60000
2,1728,66,60000
2,1603,80,60000
40,2381,26,240124
5,2741,31,279112
3,1600,7,205536
4,2193,49,203118
4,,55,198447
2,1322,88,60000
4,1882,35,170908
4,2019,66,153401
3,1885,29,"$197,794"
6,3419,11,391915
3,1951,1,187088
3,2219,90,83977
4,2357,98,152235
2,1548,0,175206
4,1952,8,236755
4,2588,92,124765
4,1591,86,98040
4,2458,92,145010
4,2326,18,244139
3,1594,40,"$160,570"
3,2204,20,183596
5,2446,3,5
5,3016,72,210072
4,2819,34,224463
3,1531,42,
4,2415,86,149671
3,1446,41,138803
5,2759,34,270648
2,1319,32,106730
2,1187,2,150525
3,1991,95,60000
1,751,100,60000
5,2914,79,230875
3,1956,86,84871
4,,85,146110
4,2013,50,186932
5,2525,40,264402
6,3166,75,259654
2,1135,90,60000
4,2474,97,118606
3,1897,37,165688
4,2244,76,160409
5,2690,77,214266
4,2173,5,233105
4,2285,27,245118
4,2438,13,248241
6,3401,68,286570
3,1922,76,"$133,545"
6,3159,45,338723
4,1929,94,117333
3,1832,55,
3,1693,58,119805
2,1668,58,83300
4,2464,6,257613
3,2140,71,127858
5,2868,70,236340
2,1073,61,60000
4,2138,42,182624
3,1802,13,188926
2,1543,97,60000
1,880,37,60000
3,1858,88,"$96,691"
4,2699,81,143502
5,2554,77,174598
1,799,11,77065
4,2433,72,175181
3,2015,33,168058
2,,15,131626
6,3595,40,323742
4,2348,42,230305
2,1515,100,60000
3,1814,22,198337
3,2207,52,145582
4,2348,86,145419
4,2283,5,253483
2,1786,8,"$168,071"
3,1953,37,
4,2502,38,210813
3,1885,33,169528
4,2335,73,157777
2,1194,39,104395
5,2778,89,199150
4,1793,28,204027
4,2638,77,157037
2,1164,26,138276
5,2917,6,347792
2,1162,49,61978
3,1426,9,205416
2,1309,82,60000
2,1296,16,115998
5,2909,10,319929
3,1838,19,
4,1869,63,152454
2,1223,81,60000
2,1255,95,60000
3,1974,43,153678
5,3162,4,320047
6,2586,84,228997
3,1912,13,185466
5,2582,96,204425
1,1163,35,60000
1,882,87,60000
2,1479,54,72489
4,2431,26,"$224,354"
2,1292,32,117879
4,2130,26,218784
3,1877,95,60000
5,3010,46,
3,1101,31,125769
3,1558,45,138342
2,1676,50,"$75,138"
5,2794,37,"$276,332"
4,99999,10,247401
4,2456,37,"$219,288"
3,1611,42,137214
2,962,75,60000
5,2794,8,293989
2,1307,42,78178
5,2860,12,310811
3,1925,63,116794
1,500,24,60000
5,2754,50,
2,1087,11,100338
3,1467,5,177301
1,826,60,
4,2255,48,184267
2,1361,46,75980
3,1659,86,94876
1,889,56,60000
4,2507,73,142801
4,1971,10,254837
2,1454,65,60000
2,1196,53,
3,2046,5,231218
4,2423,85,125972
6,3351,6,383124
2,1172,68,60000
5,3168,69,235068
5,2908,50,255444
4,2138,40,196388
5,2797,14,299574
5,2704,29,289064
2,1523,39,112655
3,1793,40,159059
6,3146,25,318679
2,1237,45,84719
4,2294,15,242840
3,2407,75,125760
4,2514,63,183120
3,1900,42,135353
5,2675,-11,314142
5,2410,73,201579
4,2274,36,"$202,665"
3,1674,7,180972
4,2298,49,193313
4,2504,33,209486
5,2702,51,245563
4,2065,84,158451
3,1677,85,96015
5,2735,41,254282
2,1389,87,60000
4,2770,57,184626
3,2219,1,212956
3,2082,80,106764
3,2000,4,225567
3,1632,0,216115
5,2736,38,
3,2169,32,169721
2,1066,33,96479
4,2175,34,195219
6,3179,94,254440
4,2051,34,220415
2,1053,34,91728
3,1841,2,241185
6,3053,78,255064
2,1467,7,160732
4,2210,26,230402
4,2820,50,235234
6,3461,59,274981
4,2064,35,223750
3,1259,97,60000
2,1269,53,91524
5,2904,84,215252
3,1466,34,151493
4,2347,9,254763
2,1421,72,60000
4,2560,47,211754
3,1395,76,84437
3,1854,83,87548
3,1316,26,148632
5,2730,6,330213
2,1113,30,77804
4,1932,14,229791
4,2627,26,248327
3,1352,32,181727
3,1693,98,"$67,365"
1,1068,42,60000
3,1605,76,109249
6,3231,9,367966
1,964,42,60000
5,3112,45,257242
2,1378,-37,115478
2,1269,9,141238
2,1399,56,61653
6,3229,7,380251
4,1970,45,177293
4,2405,60,205727
5,2888,35,254737
2,981,48,82018
3,1542,18,178277
4,2299,93,129757
4,2603,70,160074
3,2145,76,"$106,698"
5,2703,12,327223
2,1100,27,100392
3,2117,19,157776
2,1518,14,153310
4,2327,94,119900
5,2881,37,259330
3,1829,77,
4,2704,42,
5,3082,59,250545
5,2567,4,317269
3,1493,-9,173693
4,2382,70,173957
3,2434,21,188990
3,,72,109186
4,2577,10,
5,2788,45,239236
1,500,34,60000
5,2710,40,275158
4,2016,98,138065
4,2369,31,252924
3,1747,9,197659
3,2168,71,108644
5,3502,19,315662
4,2291,12,273276
6,3371,83,246009
4,2346,26,216188
3,1780,37,171684
2,926,60,60000
3,1967,3,198979
3,1708,27,182513
3,1254,6,185052
4,2779,22,272367
3,1772,25,175164
4,2221,35,229015
3,,15,206706
4,1691,86,62000000
5,2521,48,257707
4,2004,27,223447
4,2692,18,271470
5,2481,82,
5,2554,52,232061
3,1847,17,192204
5,2697,3,314398
2,1610,41,92845
3,2172,31,167706
2,1291,41,75908
3,1886,94,69831
4,,45,183100
4,2494,59,198533
4,2142,80,146713
3,1761,31,134099
3,2115,24,186929
3,1978,82,107228
3,1907,84,96053
4,2507,54,186978
4,2268,68,156834
4,2715,98,152027
4,2242,58,162043
4,2560,25,214470
6,2943,23,338491
5,2677,76,190651
4,2355,70,146166
3,1556,37,138366
3,1761,3,212155
5,2746,83,208020
5,2733,5,322217
3,2096,98,65223
4,2602,91,121962
3,1571,16,"$164,169"
6,2928,29,333142
2,1593,19,116191
4,2576,52,201273
4,2408,12,242231
2,1414,5,142916
2,,75,"$60,000"
2,1442,93,60000
4,2066,19,235199
2,1358,9,152578
3,1955,100,60000
3,2199,98,107070
5,2988,50,258287
6,3015,33,306683
4,2224,64,145179
2,997,29,101487
4,2322,84,147596
3,1641,26,181735
4,2261,88,156452
3,2032,67,112687
4,1989,9,
1,616,54,60000
5,2962,89,187652
4,2335,42,244896
4,2453,21,251200
4,2364,59,"$181,569"
4,2772,38,226847
3,2087,26,168880
3,2082,35,142613
2,1491,17,133499
4,1751,11,232682
2,1454,99,60000
1,613,13,89397
3,1450,74,77456
5,2668,38,272099
3,1981,26,184231
3,2092,92,94235
4,2721,100,133737
4,2245,93,115517
2,1640,33,100308
3,1981,17,190656
4,2317,56,172881
5,2927,38,261328
1,724,75,60000
2,1097,68,60000
5,2683,10,299660
2,858,45,64826
1,500,6,60000
4,2465,57,190384
5,2393,97,165498
5,2789,43,276015
3,2008,50,137774
3,1793,19,196134
2,1160,75,60000
4,2661,95,141327
3,1682,94,80542
2,1387,32,118487
3,1914,35,173208
4,2146,95,161226
4,2763,86,164031
2,1354,52,"$72,916"
2,1256,59,60000
6,3269,90,259017
3,1849,57,113473
5,2812,65,252040
1,939,40,60000
3,1895,4,207337
4,2535,16,239325
3,1624,89,"$60,000"
3,1558,13,172122
4,2206,5,226375
4,2459,31,247494
5,2580,60,235398
5,2759,57,229870
5,3010,96,167807
3,1400,2,223651
4,2550,47,187954
5,2483,20,281776
3,2101,78,108615
2,1111,7,130937
4,2257,47,193598
1,686,53,60000
3,1745,100,82256
2,1000,19,120326
3,1746,88,89987
2,1357,27,
2,1333,69,
2,1589,98,60000
1,784,31,60000
3,2022,83,86803
6,3366,83,272536
3,2316,9,189873
3,1341,69,91045
1,535,36,60000
3,1713,55,170801
2,1345,99,60000
2,1378,92,60000
2,1048,15,103181
4,2255,0,274953
3,1439,93,60000
5,2358,1,293414
3,1579,79,99766
3,2046,85,100880
5,2656,80,212519
4,2439,72,162061
4,2770,78,159551
4,2474,20,248897
1,853,39,60000
3,1491,10,188249
2,1128,34,116503
4,2895,91,152212
4,2348,50,186967
3,2417,40,173740
4,2163,35,227266
2,1384,68,60000
4,2446,30,226927
2,1257,44,100065
3,1804,29,181538
3,1850,54,138218
4,2495,56,206943
4,2581,27,230796
3,1528,63,104025
4,2150,69,160920
2,1667,92,60000
4,2248,94,124634
5,2457,45,239774
3,1360,90,70633
3,1745,3,212018
4,2371,99,117568
6,3646,13,387872
3,1457,30,161341
3,1781,65,84173
3,1746,76,86429
4,2409,35,200180
4,2402,94,132510
2,1534,71,60000
2,1337,1,153206
2,1518,33,104856
3,1582,30,162338
4,2475,98,115853
4,1811,62,158573
4,2257,79,158059
4,2352,17,250495
6,3145,33,331782
2,967,87,
5,2999,4,325683
3,1910,48,130277
5,2501,78,
3,1707,4,212026
2,1524,37,
2,1458,54,60000
2,1319,32,106730
5,2191,94,163117
4,2263,69,138981
1,887,9,81132
6,3177,17,360672
5,2739,57,262836
3,1781,29,167805
4,2204,88,122251
5,3111,-89,187428
2,1185,9,135351
3,2200,69,105172
4,2395,77,148379
4,2115,19,212584
4,2263,42,228811
4,2565,30,217692
5,2706,72,205338
3,2071,14,167026
4,,80,"$161,801"
1,696,46,60000
3,1306,61,75479
3,1728,19,172037
4,2456,7,270117
3,1811,1,187343
3,1658,20,187939
5,2927,56,257221
3,1799,71,124624
5,2332,25,"$280,352"
2,1308,87,
4,2388,18,242838
4,2350,47,205747
5,2551,97,"$169,412"
3,1912,88,60000
4,,61,184454
4,2151,53,169546
4,1992,61,161029
4,2890,100,119320
5,2916,62,228402
3,1336,50,120944
3,1881,39,143447
6,3758,59,289771
4,2639,77,140946
5,3145,43,260845
1,880,88,60000
5,2904,84,215252
1,900,9,82939
4,,9,276491
1,1007,26,61542
3,1772,64,
4,,44,213592
4,2179,69,145547
4,2542,93,117369
4,2029,70,153169
5,3020,59,236038
5,2954,21,278969
2,1022,52,73179
3,1744,28,160633
4,2306,96,124633
3,1840,72,95295
3,2063,47,162780
3,1896,5,200948
3,1492,34,167146
3,1795,23,204958
2,996,3,170871
2,1269,77,60000
3,1930,24,194923
2,1317,59,70105
4,2481,38,231337
3,1587,76,85532
3,2171,6,209516
3,1764,1,203399
3,2138,33,177601
4,2526,6,291614
2,1335,5,134307
3,1707,27,166790
5,2320,61,216129
3,1227,100,81565
6,2957,32,336902
2,1036,49,96579
5,3107,95,180012
4,2766,80,176689
4,2025,14,254172
4,1978,26,219509
3,1846,86,60000
5,2894,73,199119
2,1484,22,128741
2,1055,29,105658
1,1250,40,60000
6,3012,26,348894
3,1787,29,152447
3,1496,48,123093
4,2092,84,159939
4,2155,48,183225
4,2534,76,152384
4,1911,19,219131
4,2483,28,250660
3,1802,62,93484
4,2403,41,220007
3,1840,29,145645
3,2041,55,125395
3,1442,0,218054
2,1503,93,60000
4,2710,0,294779
3,1789,66,
3,1821,4,209909
